timestamp,Object Number,X,Y,Z,Roll,Pitch,Yaw
1714109663.5731583,1.0,"0.6545912152653492, -0.11645191406799492, -0.46146105498686263, -0.018388677343728496, 0.028336618772314155, 1.5513132794503748",,
1714109663.6738567,2.0,"0.5885578482857705, -0.126365589954681, -0.5051160090941241, -0.23762083881041543, 0.16057122334844273, 1.5392944900881513",,
1714109663.7743156,3.0,"0.5587575675861582, -0.2254825693557605, -0.45830357995546767, -0.004688437777372221, -0.016946565973130354, -1.5863904539479823",,
1714109663.8753452,4.0,"0.6453241570252929, -0.25030310388741733, -0.4523285653906017, -0.054932878427092484, -0.09020525234412093, -1.618741766546927",,
1714109675.704052,1.0,"0.6421282890988991, -0.11054165199830529, -0.4481546049095117, 0.025103635349361955, -0.053272050265538384, 1.5524511370571268",,
1714109675.804069,2.0,"0.5552528653299471, -0.11406412796917355, -0.4456246319421581, 0.003696530002862849, 0.06234774308747701, 1.5570154212365028",,
1714109675.9046178,3.0,"0.5574629117360251, -0.22198118647617765, -0.45829638556486985, -0.0014868827872693917, -0.05335344867310556, -1.6016821181334069",,
1714109676.0055654,4.0,"0.6410843973189742, -0.24447216459523266, -0.4488801889408576, -0.03625973958213689, -0.00216546073166439, -1.608454177870909",,
1714109926.2332428,1.0,"0.5535575469192561, -0.20224672435169694, -0.45913063674263344, -0.9023359578675417, 0.4631326828287431, 1.4887860424287667",,
1714109926.333465,2.0,"0.5744623111678895, -0.3334801338849504, -0.4589251447293067, 0.0205496916799663, 0.026896952335056207, 1.6195499164134302",,
1714109926.4339647,3.0,"0.6597554537309072, -0.33226150638388774, -0.4601758746541197, -0.03873502283366055, -0.017846113642154857, -1.4250951241774423",,
1714109926.5342557,4.0,"0.6390221731982291, -0.17767490457582094, -0.44730675503843126, -0.045206629178745066, -0.0296675153665972, -1.5196212225568408",,
1714109937.1708224,1.0,"0.5549104697684875, -0.20298515677088727, -0.4596604204207674, 0.029128070011033066, 0.0789308107759628, 1.6611839644170567",,
1714109937.2712328,2.0,"0.5744623111678895, -0.3334801338849504, -0.4589251447293067, 0.0205496916799663, 0.026896952335056207, 1.6195499164134302",,
1714109937.3717067,3.0,"0.6634838338834527, -0.30692552627461656, -0.4625899250314389, 0.028208196195978905, 0.05567044839238864, 1.7045773425897937",,
1714109937.472098,4.0,"0.6390221731982291, -0.17767490457582094, -0.44730675503843126, -0.045206629178745066, -0.0296675153665972, -1.5196212225568408",,
1714110215.424478,1.0,"0.5600853825507992, -0.2910691024631732, -0.4463727636737081, 0.003282069521120233, 0.05169892207600984, 1.5597319840268737",,
1714110215.5251281,2.0,"0.6673240500596396, -0.1613376768180612, -0.4645949376224138, -0.004115685664848623, -0.0944430691083046, -1.577531099200535",,
1714110215.6255555,3.0,"0.5616393472623569, -0.15903296332365513, -0.45444371186057186, -0.03106336155930701, -0.027128817377828754, -1.5496077117399347",,
1714110215.7257333,4.0,"0.6640626809725485, -0.29018960916452186, -0.46364783294239764, -0.016994041905597737, -0.024003386401560384, -1.6219076222094884",,
1714110469.1836293,1.0,"0.6466938695309888, -0.1132795273560453, -0.4600093760782878, 0.009347449503982358, 0.041234990521267424, 1.5818850959985107",,
1714110469.2839832,2.0,"0.5743666175562891, -0.2707727160886846, -0.45927780537206514, -0.029091403913967945, 0.03692664347317904, 1.6235514151586836",,
1714110469.384414,3.0,"0.5658615526966775, -0.13499192311709193, -0.47337977041360463, -0.06512310903076951, -0.051366859515481374, -1.5194406556574913",,
1714110469.4849176,4.0,"0.6540215083689607, -0.25610062653997606, -0.4569438501723429, -0.01407231821712725, -0.046452407926432515, -1.6231464643024007",,
